QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
4,12,27,3,48,41,1010,1225,255.0,1626.0,284,23,92,28.0,3,2
2,5,1,1,47,17,1910,2035,85.0,395.0,234,23,43,12.0,2,2
4,10,25,3,49,6,1255,1355,120.0,590.0,206,23,348,-20.0,0,1
3,9,27,3,16,41,743,805,82.0,344.0,284,18,44,-12.0,0,1
1,3,11,6,53,4,1415,1805,170.0,1107.0,290,23,336,-16.0,0,1
1,2,1,3,13,40,2142,2256,134.0,674.0,376,6,22,-16.0,0,1
4,11,2,4,8,6,956,1153,177.0,967.0,338,20,96,-28.0,0,1
3,9,12,2,13,47,1910,2015,65.0,227.0,374,6,22,-14.0,0,1
3,7,27,4,17,26,1800,2010,70.0,228.0,105,23,234,7.0,2,2
3,8,14,1,25,34,555,714,79.0,200.0,121,20,45,-3.0,1,1
2,5,4,4,6,48,1137,1701,204.0,1431.0,97,1,351,12.0,2,2
3,8,28,1,17,42,821,1122,121.0,678.0,289,20,274,-15.0,0,1
2,4,12,3,36,12,1945,2257,192.0,944.0,232,6,196,14.0,2,2
1,3,9,4,17,8,1732,1915,163.0,888.0,96,20,274,10.0,2,2
1,2,18,6,53,27,700,1214,194.0,1399.0,258,6,336,5.0,1,1
4,10,17,2,17,13,1839,2138,119.0,606.0,22,6,274,0.0,1,1
1,3,24,5,13,13,2111,2220,69.0,208.0,391,7,22,-15.0,0,1
4,12,1,5,34,39,850,1051,121.0,463.0,77,7,121,0.0,1,1
1,2,8,3,21,13,1840,2018,98.0,321.0,22,6,335,-6.0,0,1
4,12,6,3,8,6,825,1015,170.0,948.0,344,23,96,-24.0,0,1
3,9,16,6,17,12,744,1148,184.0,1197.0,242,20,274,-16.0,0,1
1,3,18,6,17,6,915,1149,274.0,1846.0,338,20,274,9.0,2,2
2,5,28,7,42,13,1020,1240,140.0,666.0,22,6,289,-30.0,0,1
3,7,31,1,6,6,2014,2200,106.0,337.0,206,20,338,-4.0,1,1
4,11,24,5,6,6,1050,1220,90.0,337.0,206,23,338,-15.0,0,1
3,7,1,6,53,6,1540,1745,125.0,672.0,266,2,336,-2.0,1,1
3,7,19,3,12,72,2050,2341,171.0,1189.0,346,3,232,64.0,5,3
1,2,28,2,36,26,1659,1919,140.0,502.0,105,6,215,-10.0,0,1
4,10,16,1,42,17,645,805,140.0,632.0,274,18,26,-20.0,0,1
1,1,7,6,51,12,830,1118,168.0,899.0,129,1,95,27.0,3,2
3,7,23,7,19,17,700,813,73.0,196.0,274,18,70,-10.0,0,1
2,6,5,1,22,24,1330,1705,155.0,998.0,57,23,259,63.0,5,3
1,1,20,5,37,13,1555,1733,98.0,356.0,22,6,314,-23.0,0,1
3,7,16,7,36,17,2004,2148,164.0,733.0,274,18,215,6.0,2,2
2,5,24,3,51,22,1800,1955,175.0,969.0,259,1,95,124.0,5,3
2,6,23,5,34,13,1230,1449,139.0,746.0,22,6,121,-5.0,1,1
4,11,24,5,13,27,1359,1542,163.0,907.0,258,6,22,-21.0,0,1
4,11,22,3,6,6,2235,2329,54.0,109.0,326,20,206,-12.0,0,1
4,12,31,7,35,48,1320,1600,100.0,580.0,92,23,2,124.0,5,3
1,1,23,1,24,36,1220,1330,70.0,281.0,55,23,57,175.0,5,3
4,10,3,2,13,31,1554,1719,145.0,821.0,271,6,22,-10.0,0,1
1,1,6,5,53,6,610,815,125.0,672.0,266,2,336,-13.0,0,1
1,1,23,1,51,12,1235,1505,150.0,811.0,373,20,174,5.0,1,1
3,7,20,4,48,48,2331,35,64.0,191.0,327,20,176,-21.0,0,1
4,11,10,5,17,29,1235,1407,92.0,315.0,83,18,274,26.0,3,2
3,9,30,6,29,51,925,1220,115.0,719.0,95,23,360,-10.0,0,1
2,4,18,2,51,12,1659,1929,150.0,759.0,232,1,95,-7.0,0,1
2,5,26,5,48,42,1905,2315,190.0,1295.0,289,23,92,-1.0,1,1
4,12,20,3,12,48,2015,2205,170.0,957.0,166,23,129,41.0,4,2
3,8,30,3,53,6,1925,2200,155.0,978.0,353,2,336,-16.0,0,1
3,7,14,5,36,6,1915,2240,385.0,2475.0,206,6,196,89.0,5,3
2,5,5,5,32,48,1355,1918,203.0,1345.0,97,1,319,-20.0,0,1
1,1,18,3,35,48,1645,1930,105.0,569.0,97,1,2,-11.0,0,1
3,8,10,4,12,13,730,847,77.0,270.0,22,6,195,-4.0,1,1
4,12,7,4,8,6,1455,1628,153.0,862.0,206,15,96,-26.0,0,1
4,11,21,2,17,12,1830,2236,186.0,1197.0,242,1,274,-20.0,0,1
3,8,8,2,12,36,1216,1518,182.0,1010.0,215,6,373,4.0,1,1
2,4,6,4,51,6,1735,2020,345.0,2288.0,206,20,174,-8.0,0,1
2,4,17,1,17,17,1655,1746,51.0,130.0,291,18,274,-10.0,0,1
2,4,2,7,8,35,802,925,83.0,349.0,2,18,96,-25.0,0,1
1,3,20,1,17,6,915,1137,262.0,1744.0,206,20,274,11.0,2,2
1,2,18,6,22,48,1418,1525,67.0,190.0,176,7,11,-23.0,0,1
